text,label,priority
routine fire safety equipment maintenance needed,Fire,Low
"light pole slightly tilted, needs straightening",Electricity,Low
fire alarm system not working in hospital,Fire,Medium
concrete pavement crumbling near market,PWD,Medium
traffic sign damaged needs replacement,Police/Traffic,Low
loose connection at transformer causing sparks intermittently,Electricity,Medium
"road marking faded, lines need repainting Please take action",Police/Traffic,Low
broken sidewalk creating walking hazard for citizens Please take action,PWD,Medium
fire equipment maintenance & inspection due,Fire,Low
fire safety signage needs replacement in mall,Fire,Low
dustbin overflow creating nuisance and smell in area,Municipality,Medium
stolen two wheeler reported in the area,Police/Traffic,Medium
explosion near petrol pump causing severe damage,Fire,High
traffic sign damaged needs replacement,Police/Traffic,Low
fire exit door needs repair in office,Fire,Low
short circuit in street light causing fire risk,Electricity,High
Reported: electric pole fallen and live wires on ground floor,Electricity,High
dustbin needs replacement in locality,Municipality,Low
"robbery incident on main street, criminal still at large Please take action",Police/Traffic,High
emergency fire situation with potential casualties,Fire,High
health center needs routine inspection and maintenance,Health Department,Low
critical live wire exposure threatening public safety,Electricity,High
fire safety training needed for staff,Fire,Low
traffic signal light needs cleaning from dust Please take action,Police/Traffic,Low
health awareness poster placement needed Please take action,Health Department,Low
broken electric meter near market area,Electricity,Medium
garbage accumulation causing disease outbreak,Municipality,High
severe pothole hazard causing vehicle damage and accidents,PWD,High
fire exit door needs repair in office,Fire,Low
street light needs new bulb replacement Please take action,Electricity,Low
garbage accumulation causing disease outbreak,Municipality,High
traffic accident with fatality near school,Police/Traffic,High
routine light repair and maintenance needed,Electricity,Low
fire extinguisher not available in government building,Fire,Medium
minor electrical maintenance required,Electricity,Low
water tank needs paint refreshing,Water,Low
accident with multiple injuries and vehicles involved,Police/Traffic,High
water pipe leakage on street resulting in water waste,Water,Medium
pest infestation near food storage area,Health Department,Medium
Reported: fire extinguisher not available in government building,Fire,Medium
emergency health hazard affecting multiple people,Health Department,High
Reported: traffic congestion due to signal malfunction urgently needs fix,Police/Traffic,Medium
parking space marking needs clarification,Police/Traffic,Low
"Reported: dead bird spreading disease, immediate disposal required",Health Department,High
traffic violation with vehicles breaking red light Please take action,Police/Traffic,Medium
Reported: fire safety signage needs replacement in mall,Fire,Low
street light needs new bulb replacement,Electricity,Low
food stall operating without proper hygiene license,Health Department,Medium
damaged road surface needing urgent patching and repair,PWD,Medium
minor pothole needs filling in residential street Please take action,PWD,Low
Reported: sewage overflow in residential area causing disease outbreak,Water,High
footpath uneven causing frequent falls & injuries,PWD,Medium
"dead bird spreading disease, immediate disposal required",Health Department,High
asphalt patch needed on side street,PWD,Low
emergency sewage overflow creating hazardous condition,Water,High
Reported: tree branches need pruning for maintenance,Municipality,Low
Reported: fire safety audit failing in commercial area,Fire,Medium
traffic congestion due to signal malfunction urgently requires fix,Police/Traffic,Medium
street light needs new bulb replacement,Electricity,Low
emergency electrical hazard causing immediate danger,Electricity,High
Reported: sanitation training program for food vendors,Health Department,Low
fire safety training needed for staff,Fire,Low
potential fire risk due to electrical issue detected Please take action,Fire,Medium
Reported: sidewalk broken making it difficult for elderly and disabled,PWD,Medium
major water tank rupture flooding the area,Water,High
"dead bird spreading disease, immediate disposal required",Health Department,High
Reported: road surface deteriorated with multiple cracks,PWD,Medium
fire safety signage needs replacement in mall,Fire,Low
sanitation training program for food vendors,Health Department,Low
Reported: damaged road surface needing urgent patching and repair,PWD,Medium
critical disease outbreak requiring emergency response Please take action,Health Department,High
contaminated water supply causing health issues Please take action,Water,High
live wire hanging near the main road causing electric shock hazard Please take action,Electricity,High
